,Date,Operating_Income,Expenses,Assets,Liabilities,Equity,Revenue,Cash_Flow,Net_Income,Debt_to_Equity,ROA,Profit_Margin,Interest_Expense,Tax_Expense,Dividend_Payout,MoM_Change,Volatility,MoM_Change_Scaled,Volatility_Scaled,MoM_Score,Volatility_Score,Risk_Score,Risk_Level
0,2015-01-01,4370861.07,3682573.85,136340296.1,149429583.3,59803407.08,9435946.42,1428845.2,688287.22,2.5,0.01,0.07,609472.14,1042103.16,1170151.42,0.0,0.0,17.87345073131407,0.0,17.87345073131407,0.0,8.936725365657034,Low
1,2015-01-02,9556428.76,1186425.69,195517203.0,47250517.76,55281922.53,12470620.28,1029017.28,8370003.06,0.85,0.04,0.67,699770.11,1329539.73,492998.93,1.5815953902063236,0.0,42.58631855019989,0.0,42.58631855019989,0.0,21.293159275099946,Low
2,2015-01-03,7587945.48,3093297.62,151995381.0,175658980.1,27447676.11,11882092.09,7320721.28,4494647.86,6.4,0.03,0.38,337977.34,345091.11,1603358.92,1.1313020563575231,9298461.324654546,35.55035998074608,28.720356662480512,35.55035998074608,28.720356662480512,32.135358321613296,Medium
3,2015-01-04,6387926.36,3230217.71,209748337.6,138262648.1,87293509.41,4000698.76,1925965.75,3157708.65,1.58,0.02,0.79,1345468.95,1316373.62,426566.77,0.3992806827264195,10099840.697479364,24.112322440193587,31.195594296524096,24.112322440193587,31.195594296524096,27.653958368358843,Low
4,2015-01-05,2404167.76,2408588.02,81240729.24,277305843.1,70924670.47,3940243.11,6659376.16,-4420.26,3.91,0.0,0.0,175614.54,136655.3,2808563.51,0.2901257255531672,13048192.268883364,22.4067458780067,40.30223094753514,22.4067458780067,40.30223094753514,31.35448841277092,Medium
5,2015-01-06,2403950.68,3813999.06,283576905.9,250196114.8,85411753.74,5486266.78,4584731.53,-1410048.38,2.93,0.0,-0.26,1235596.44,1338468.96,632380.92,0.0,14021730.06073977,17.87345073131407,43.30921797800047,17.87345073131407,43.30921797800047,30.59133435465727,Medium
6,2015-01-07,1522752.51,4704651.57,80425653.62,158545616.7,87288785.14,6693971.44,1083923.9,-3181899.06,1.82,-0.04,-0.48,1752422.18,527156.98,833020.99,0.0,14165795.06600033,17.87345073131407,43.75419464555886,17.87345073131407,43.75419464555886,30.813822688436467,Medium
7,2015-01-08,8795585.31,4665058.31,410160428.5,102799170.6,77352026.83,7309922.56,7665861.44,4130527.0,1.33,0.01,0.57,1792581.08,506152.07,1279245.93,0.648595238299062,18547825.405156158,28.00793170621909,57.28906561530412,28.00793170621909,57.28906561530412,42.648498660761604,Medium
8,2015-01-09,6410035.11,2528777.17,155170436.9,395453667.1,49528954.11,10836063.82,2352208.75,3881257.93,7.98,0.03,0.36,953171.74,792528.44,1211176.96,0.5386491411727439,25968066.315894116,26.28999336224691,80.20812265465153,26.28999336224691,80.20812265465153,53.249058008449225,Medium
9,2015-01-10,7372653.2,1009571.21,293005361.6,192520616.1,64949207.95,2736845.62,6947340.09,6363081.99,2.96,0.02,2.32,972677.01,1414000.77,2404522.39,0.5966677991689762,21747589.74924588,27.196551028618835,67.1722462824624,27.196551028618835,67.1722462824624,47.18439865554062,Medium
10,2015-01-11,1185260.45,4931785.4,446035589.4,281544209.6,24432886.55,2450745.15,1766075.04,-3746524.95,11.52,-0.01,-1.53,246241.45,119282.98,1423318.78,-0.09789936794290202,20538635.73157587,16.34374588106802,63.43812411281286,16.34374588106802,63.43812411281286,39.89093499694044,Medium
11,2015-01-12,9729188.67,4275041.39,342894816.1,73410127.68,70628087.57,7094837.32,6904571.62,5454147.28,1.04,0.02,0.77,1374453.55,560734.91,595227.95,0.9022909932873266,16249198.450634254,31.971998431539745,50.1892473052771,31.971998431539745,50.1892473052771,41.080622868408426,Medium
12,2015-01-13,8491983.77,1060982.07,289831004.0,204524085.9,26132793.02,11063128.0,599216.1,7431001.7,7.83,0.03,0.67,1660392.9,1292029.38,874908.7,0.6437093275243384,16638234.312688591,27.93158799157608,51.39087070538424,27.93158799157608,51.39087070538424,39.66122934848016,Medium
13,2015-01-14,2911052.0,4643788.47,195950188.9,30463953.55,72455463.15,4514659.46,4338353.42,-1732736.48,0.42,-0.01,-0.38,564844.6,624278.99,1576428.82,0.25075576655543125,14978083.522304049,21.791579319751193,46.26312739941159,21.791579319751193,46.26312739941159,34.02735335958139,Medium
14,2015-01-15,2636424.7,4414533.63,199850860.9,212072944.8,30663834.47,10339558.26,6270819.35,-1778108.92,6.92,-0.01,-0.17,900471.68,338777.5,527616.36,1.5298430258813387,14290234.617929742,41.77767346511822,44.138553755044626,41.77767346511822,44.138553755044626,42.958113610081426,Medium
15,2015-01-16,2650640.59,2834771.26,351269129.8,386326614.7,20579617.01,5377765.79,7510966.38,-184130.67,18.77,0.0,-0.03,1693794.74,665951.56,1873801.46,0.28618112581705996,21590924.771673284,22.345110410123784,66.68835181053787,22.345110410123784,66.68835181053787,44.516731110330824,Medium
16,2015-01-17,3738180.19,3160739.46,497362712.6,165998550.9,24875604.11,13519119.41,7319016.02,577440.73,6.67,0.0,0.04,1766528.89,609051.13,1740667.19,-0.3968933749083459,19919445.77810349,11.671881371010155,61.52561884074171,11.671881371010155,61.52561884074171,36.59875010587593,Medium
17,2015-01-18,5722807.88,2295512.17,347827635.4,34818484.78,10179292.17,13643969.28,6647186.52,3427295.72,3.42,0.01,0.25,562041.96,1377353.49,2172636.72,0.0,20068302.564780924,17.87345073131407,61.985395986200295,17.87345073131407,61.985395986200295,39.929423358757184,Medium
18,2015-01-19,4887505.17,746427.37,301002537.8,31763200.55,74686565.61,5864733.66,7161435.12,4141077.79,0.43,0.01,0.71,1146084.21,1154804.84,2819343.38,0.5107407592890254,15961092.99229601,25.853917133900453,49.299369805013455,25.853917133900453,49.299369805013455,37.576643469456954,Medium
19,2015-01-20,3621062.26,2008387.59,378792729.6,167434968.8,75916094.42,4989918.8,1994147.64,1612674.67,2.21,0.0,0.32,465736.99,782417.56,2745538.23,0.438892083648415,11860657.646300884,24.731261595661447,36.634267322286625,24.731261595661447,36.634267322286625,30.682764458974034,Medium
20,2015-01-21,6506676.05,4112840.52,259342525.5,80809475.86,56344001.49,7346951.64,2631382.22,2393835.53,1.43,0.01,0.33,293569.65,1483137.32,2843619.29,0.0,10685152.594733361,17.87345073131407,33.00345969070021,17.87345073131407,33.00345969070021,25.43845521100714,Low
21,2015-01-22,2255444.75,520844.1,77064054.17,28873796.6,24522652.09,5126910.61,2667263.94,1734600.64,1.18,0.02,0.34,1831128.95,724652.42,809675.23,0.06180754498277726,18314215.64792563,18.839210810552764,56.56751015432623,18.839210810552764,56.56751015432623,37.70336048243949,Medium
22,2015-01-23,3629301.84,2000746.27,303033567.2,307361173.3,17519890.38,10740989.96,3327904.48,1628555.56,17.54,0.01,0.15,1658964.26,134444.85,481539.39,2.036823648085472,21360321.323172253,49.699386680046594,65.9760819997266,49.699386680046594,65.9760819997266,57.837734339886595,Medium
23,2015-01-24,4297256.59,2291759.12,480931378.0,194238743.4,11721606.98,12738840.9,3449905.03,2005497.47,16.57,0.0,0.16,1544066.31,430297.77,976602.43,0.20302982735515065,25437288.6914733,21.045848247005175,78.5686984370758,21.045848247005175,78.5686984370758,49.80727334204049,Medium
24,2015-01-25,5104629.86,2918280.21,128886324.1,129913013.4,24917335.93,10750197.7,4584164.93,2186349.64,5.21,0.02,0.2,192656.01,682302.2,2695747.0,0.0,19861627.999024503,17.87345073131407,61.34703582806862,17.87345073131407,61.34703582806862,39.610243279691346,Medium
25,2015-01-26,8066583.65,4639350.27,360502200.9,362031609.6,90176998.15,12716555.81,1699098.23,3427233.38,4.01,0.01,0.27,1703084.71,277508.81,2918955.08,1.0316552820358196,24960069.65258627,33.99335141987176,77.09470176984001,33.99335141987176,77.09470176984001,55.544026594855886,Medium
26,2015-01-27,2797064.04,2058556.97,140420159.9,64132804.88,31738315.75,7160898.11,5684349.98,738507.06,2.02,0.01,0.1,932283.74,1423969.43,2592042.36,0.019569217877434437,23897920.792158637,18.179225202913234,73.81401983386797,18.179225202913234,73.81401983386797,45.9966225183906,Medium
27,2015-01-28,5628109.95,2061289.41,291122458.0,383249155.0,41884419.45,4032120.62,1756749.04,3566820.54,9.15,0.01,0.88,750550.73,1161930.9,419051.39,1.442611660412873,24074573.743337017,40.41465912034202,74.35965158800244,40.41465912034202,74.35965158800244,57.38715535417223,Medium
28,2015-01-29,6331731.12,3818755.62,93504402.34,139307352.6,19481093.6,11593362.32,2827313.62,2512975.5,7.15,0.03,0.22,1138305.09,439016.44,2847541.19,0.5741213813980826,20963149.092203025,26.844256980715222,64.74932762267453,26.844256980715222,64.74932762267453,45.79679230169488,Medium
29,2015-01-30,1418053.71,2534980.73,252666921.3,357593395.5,30012517.43,6686168.57,4275088.48,-1116927.02,11.91,0.0,-0.17,273571.16,906666.57,1327738.28,-0.07095171895657539,18798624.016946565,16.764810390709734,58.06371265953895,16.764810390709734,58.06371265953895,37.414261525124346,Medium
30,2015-01-31,6467903.67,1510721.7,390273498.0,249118293.1,56730211.37,10726520.73,6473304.21,4957181.96,4.39,0.01,0.46,1537628.44,1096101.28,126999.84,0.0,20768057.082160495,17.87345073131407,64.14674275246969,17.87345073131407,64.14674275246969,41.01009674189188,Medium
31,2015-02-01,2534717.11,2535977.82,206407185.9,334148796.7,64697741.48,5518371.25,6046019.25,-1260.71,5.16,0.0,0.0,1206626.65,1414854.45,1382941.85,0.47640361948324816,13063066.489204988,25.31738977516297,40.348173270441904,25.31738977516297,40.348173270441904,32.832781522802435,Medium
32,2015-02-02,1585464.34,1133856.59,349210276.0,393925002.0,32081708.27,3055985.25,5341507.67,451607.75,12.28,0.0,0.15,454521.18,1328371.26,233600.59,0.0,14160283.598836811,17.87345073131407,43.737171258877666,17.87345073131407,43.737171258877666,30.805310995095866,Medium
33,2015-02-03,9539969.84,1293741.44,407952482.4,129594066.4,15195894.33,14903563.34,1668299.45,8246228.4,8.53,0.02,0.55,457641.18,797028.73,1677245.97,0.0,20522507.179815978,17.87345073131407,63.388307509525475,17.87345073131407,63.388307509525475,40.63087912041977,Medium
34,2015-02-04,9690688.3,2742654.98,467230018.8,385231484.5,45192958.22,4030619.6,4602840.09,6948033.32,8.52,0.01,1.72,450072.44,1173246.3,1081806.68,0.5590189576847013,17388182.57109208,26.60827741015963,53.70725195468244,26.60827741015963,53.70725195468244,40.15776468242103,Medium
35,2015-02-05,8275576.13,2385164.52,155588936.8,168003120.1,31078303.38,14849472.92,1155848.76,5890411.61,5.41,0.04,0.4,208304.54,865109.89,1472961.31,0.09948446648791769,23558900.365912486,19.42792318714714,72.76688018165058,19.42792318714714,72.76688018165058,46.09740168439886,Medium
36,2015-02-06,3741523.92,4616806.55,229692162.1,166494523.8,29759853.09,14704639.12,3330223.83,-875282.63,5.59,0.0,-0.06,1216817.05,851420.64,1878194.05,0.3228257449095487,22487281.428477388,22.91769277443376,69.45694781598063,22.91769277443376,69.45694781598063,46.18732029520719,Medium
37,2015-02-07,1879049.03,2130772.55,118587206.0,149347099.6,96387652.24,12319635.35,3601373.98,-251723.52,1.55,0.0,-0.02,1696661.54,216375.84,2619523.18,-0.11719233186111958,8421506.241462464,16.04228795440876,26.011686713026524,16.04228795440876,26.011686713026524,21.026987333717642,Low
38,2015-02-08,7158097.24,3112647.58,496617576.0,225734890.8,65467043.73,10572498.51,798585.8,4045449.66,3.45,0.01,0.38,133246.61,232899.6,2019514.57,0.0,19964418.26308065,17.87345073131407,61.66452631838184,17.87345073131407,61.66452631838184,39.768988524847956,Medium
39,2015-02-09,4961372.44,3345189.3,467150435.6,78575116.41,60119059.89,9511491.65,2554910.75,1616183.15,1.31,0.0,0.17,193108.83,817823.74,1358741.72,0.0667112304492279,22399134.869183127,18.91583225969721,69.18468765022726,18.91583225969721,69.18468765022726,44.050259954962236,Medium
40,2015-02-10,2098344.11,558925.05,292980708.6,230410364.4,47419759.32,13259320.09,7667371.0,1539419.06,4.86,0.01,0.12,1188263.53,439849.24,2476340.78,0.0,15580540.41550085,17.87345073131407,48.123948909794635,17.87345073131407,48.123948909794635,32.99869982055435,Medium
41,2015-02-11,5456592.19,3485918.17,428914982.5,225847828.7,48604990.01,5762713.78,7652244.56,1970674.02,4.65,0.0,0.34,1657041.8,80503.51,2726188.2,0.5348393091528579,14082984.921081243,26.230463677409304,43.49841717718979,26.230463677409304,43.49841717718979,34.86444042729955,Medium
42,2015-02-12,1309496.69,1301161.85,284431089.8,309522688.8,58681450.35,8079855.76,3142452.91,8334.84,5.27,0.0,0.0,720803.89,1098116.85,447303.9,0.6187834686435187,10552445.574869398,27.54211451459943,32.59356467591942,27.54211451459943,32.59356467591942,30.06783959525942,Medium
43,2015-02-13,9183883.62,4824816.43,330613559.6,336786985.5,72678682.63,10052069.6,823250.82,4359067.19,4.63,0.01,0.43,764267.36,97105.57,1642605.63,0.0,11389979.237531127,17.87345073131407,35.18047283939153,17.87345073131407,35.18047283939153,26.526961785352796,Low
44,2015-02-14,3329019.83,1168982.27,90105994.45,187367713.1,73193148.66,7345476.19,1843212.04,2160037.56,2.56,0.02,0.29,1233058.35,913151.42,925084.68,0.47953875786142364,16268418.97206034,25.366377184214322,50.24861414150111,25.366377184214322,50.24861414150111,37.80749566285772,Medium
45,2015-02-15,6962700.56,2365808.56,389871689.2,134886634.8,25452451.69,7557323.9,3441633.45,4596892.0,5.3,0.01,0.61,621004.49,831831.0,236477.47,0.491281839857259,21527610.711043302,25.549866106189214,66.49279231531024,25.549866106189214,66.49279231531024,46.02132921074973,Medium
46,2015-02-16,3805399.68,884073.51,107471067.6,118547261.0,55010147.69,6293700.68,7608347.73,2921326.18,2.16,0.03,0.46,150555.9,1454781.3,2038785.42,0.6206764860247771,16984650.768328797,27.57169343763599,52.4608546320108,27.57169343763599,52.4608546320108,40.0162740348234,Medium
47,2015-02-17,5680612.19,4985934.13,421730433.6,93957057.95,47076228.55,9335013.62,1558992.98,694678.06,2.0,0.0,0.07,1496934.18,752109.05,2602035.25,0.9603559161102382,15816203.831245407,32.87927899869493,48.85184754981329,32.87927899869493,48.85184754981329,40.865563274254114,Medium
48,2015-02-18,5920392.51,2759877.55,401912639.5,41906081.24,88347426.96,13057468.86,6226368.83,3160514.97,0.47,0.01,0.24,1288734.83,142222.08,572417.7,0.0,17899002.26546385,17.87345073131407,55.28503168622546,17.87345073131407,55.28503168622546,36.579241208769766,Medium
49,2015-02-19,2663690.1,3179232.58,368935114.0,150130232.0,66827702.91,4619868.91,1315119.05,-515542.48,2.25,0.0,-0.11,1203436.4,849947.55,2455999.61,0.6278690413690827,8212199.328875559,27.68407911516421,25.36519596885581,27.68407911516421,25.36519596885581,26.524637542010012,Low
50,2015-02-20,9726261.65,801844.15,66272171.24,122694123.0,57925365.98,14147629.5,7859431.83,8924417.5,2.12,0.13,0.63,1509199.85,1269589.45,2574847.63,0.0,19781059.52859115,17.87345073131407,61.09818226769933,17.87345073131407,61.09818226769933,39.4858164995067,Medium
51,2015-02-21,7976195.41,3874822.12,186407760.2,387238606.6,20385517.8,10958139.5,3362123.74,4101373.29,19.0,0.02,0.37,1382938.59,1495431.46,2751587.28,0.8929612738445288,24382034.381739557,31.82621897062018,75.30931184751026,31.82621897062018,75.30931184751026,53.56776540906522,Medium
52,2015-02-22,9455490.47,1444575.17,168400656.5,231929354.0,64507410.04,12702551.76,6314259.04,8010915.31,3.6,0.05,0.63,491175.78,673997.6,869326.76,0.1949598604224023,16611283.408348814,20.91975276939647,51.30762686987325,20.91975276939647,51.30762686987325,36.113689819634864,Medium
53,2015-02-23,9053446.15,4541244.3,212061383.4,151965274.8,20548351.51,9230479.0,3069433.12,4512201.85,7.4,0.02,0.49,769713.99,514433.18,2721463.89,0.20031527931174592,12652430.38393417,21.003432678902183,39.07983273644415,21.003432678902183,39.07983273644415,30.041632707673166,Medium
54,2015-02-24,6381099.81,1423128.38,89439236.04,240577688.4,40348591.8,12133717.12,5207516.58,4957971.43,5.96,0.06,0.41,339609.27,1364647.28,1029921.99,0.2293627689488413,10257196.055728907,21.457307782684794,31.681621162033178,21.457307782684794,31.681621162033178,26.569464472358987,Low
55,2015-02-25,9296868.12,1358094.74,471631020.4,72894746.51,22855776.83,2210605.17,1940120.64,7938773.37,3.19,0.02,3.59,346728.33,327301.09,1701780.24,0.6605478914424119,21683466.43436133,28.194695235656326,66.97418722628483,28.194695235656326,66.97418722628483,47.584441230970576,Medium
56,2015-02-26,1796432.52,664473.51,299211008.3,188736624.7,72286628.23,12638945.52,1595157.64,1131959.01,2.61,0.0,0.09,1384771.92,942371.93,246471.67,0.5437238941424163,22832608.463568967,26.369287788703637,70.52356682602372,26.369287788703637,70.52356682602372,48.44642730736368,Medium
57,2015-02-27,2763845.76,2624301.25,187485939.8,257969042.1,28562690.25,2521805.17,7535481.05,139544.51,9.03,0.0,0.06,1731340.2,638285.92,227255.16,0.5307193877471227,20297291.16285765,26.16608875968091,62.69267797391662,26.16608875968091,62.69267797391662,44.42938336679876,Medium
58,2015-02-28,1407045.6,3041785.1,228641682.7,205781176.1,45267343.59,13568873.89,7382354.58,-1634739.5,4.55,-0.01,-0.12,1929191.91,109569.43,2189082.32,0.0,9239102.160112897,17.87345073131407,28.537012739513088,17.87345073131407,28.537012739513088,23.205231735413577,Low
59,2015-03-01,3927972.98,795688.88,251241143.2,172675944.3,90610729.99,14895515.71,7156017.05,3132284.1,1.91,0.01,0.21,1293859.52,553568.29,1388991.94,-0.20206481304084795,8634116.631997202,14.716131832657616,26.668380980293783,14.716131832657616,26.668380980293783,20.6922564064757,Low
